Site,PTR40-0913,PTC70-0617,TTH47-20171120,TTY70-20170706,TTR83-1202,NTH71-0913,PTS52-0729,PD10_ZZM_TTC33-20170512,TTC1-20171208,TTC92-0729,TTR156-0913,TTR168-0913,TTR47-0617,TTR102-0913,NTC34-1010,PTH38-20171219,TTY31-0913,PTC20-20171120,TTY21-20170706,NTH11-20171219,TTY65-1011,TTH23-0616P,TTH102-20171120,TTC160-0617,PTR53-0616A,PTH23-0729,TTC21-20170706,PTR62-1011,TTC176-0617,TTY21-0616A,NTH-30-0617,TTR43-1010,NTC55-1202,PD10_ZZM_TTH4-0616A,PTR57-1010,NTS33-0729,TTR12-0617,TTH80-0913,TTR61-0617,PTR45-1011,PTC19-1010,TTC70-1202,PD10_ZZM_LNTC34-0512,TTC150-0616A,NTC15-0913,TTC267-1011,PTH66-0729,PD10_ZZM_TTC9-20170512,NTC81-0729,TTY42-20171120,PTC40-20171120,NTS-49-0617,NTC5-1010,TTR133-0616A,TTY91-1202,NTY56-1202,TTH149-0913,PTY2-20171120,PTH81-0913,TTR108-1010,TTC51-0913,PD10_ZZM_PTC68-20171208,NTH94-0729,PTC78-0913,PTS74-0729,TTH96-20171120,TTS56-0617,PTR108-0617,PTH6-20171120,PTC91-20171120,TTC145-0729,PTR56-0913,PTS25-0729,TTR20-0617,TTC30-20171219,PTC31-1010,TTR78-0617,PTC49-0913,TTC157-20171120,TTR48-1010,start,end
20_4686508_4699210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_4686508,20_4699210
20_4686512_4699210,,,,,29.0,,,,12.0,,,15.0,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,23.0,20_4686512,20_4699210
20_47298947_47310055,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,11.0,47.0,,,,,,,,,,71.0,,,,,,,,,,,20_47298947,20_47310055
20_47298872_47310055,,,,,,,,,107.0,,,,,,,,,,25.0,,,,,,,,,38.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,,,24.0,,,,,,,,,,,,,,,,27.0,20_47298872,20_47310055
20_49124587_49135832,12.0,,,,,,,18.0,,,,109.0,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,16.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,12.0,,,20_49124587,20_49135832
20_49124605_49135832,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20_49124605,20_49135832
20_49278738_49279103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_49278738,20_49279103
20_49278716_49279103,,64.0,,13.0,,,22.0,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,16.0,,,,,,,,,,,32.0,,,,16.0,,,,,,,,,,,,,,,,18.0,,,,,,,,20_49278716,20_49279103
20_49280964_49289044,,,,54.0,,,18.0,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,116.0,,,,1.0,,28.0,,,,,,,,11.0,,,,,,,,,,,,,,20_49280964,20_49289044
20_49280570_49289044,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,20_49280570,20_49289044
20_49279208_49289044,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_49279208,20_49289044
20_50096820_50113106,10.0,,,,,5.0,27.0,22.0,,,,,,,,,,,17.0,,,,,,,,30.0,25.0,,,,29.0,,16.0,,,,,11.0,,,,,71.0,,11.0,,,15.0,,,,,,,,,13.0,12.0,7.0,,,,,,,,,,,,,,,,18.0,,,,,20_50096820,20_50113106
20_50084254_50113106,4.0,,,,,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,20_50084254,20_50113106
20_5106222_5109331,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,20_5106222,20_5109331
20_5106310_5109331,46.0,,158.0,,,38.0,40.0,,60.0,,,25.0,,,132.0,,,119.0,,,39.0,,,,59.0,49.0,58.0,,,17.0,,46.0,31.0,,,,34.0,,20.0,,,52.0,,70.0,,,38.0,,76.0,39.0,,,37.0,32.0,,,,,,226.0,,,,51.0,,11.0,,59.0,24.0,39.0,,32.0,33.0,34.0,,49.0,,57.0,48.0,,20_5106310,20_5109331
20_5586269_5593326,,,,,,,,,,39.0,,,,,49.0,,85.0,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,20_5586269,20_5593326
20_5584322_5593326,,,,,102.0,,,,,,,37.0,,,,,,,,,,,12.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,20_5584322,20_5593326
20_57604769_57610148,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,69.0,,,20.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_57604769,20_57610148
20_57607300_57610148,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,10.0,,,,,,,20_57607300,20_57610148
20_57616468_57620261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,41.0,,,,,,13.0,,,,,,,20_57616468,20_57620261
20_57615580_57620261,,,,,,,,,,,,,84.0,,,,106.0,,,,,,,11.0,,,,,,21.0,,,,,,,,,,,17.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_57615580,20_57620261
20_58652087_58667489,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,40.0,,35.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,20_58652087,20_58667489
20_58652138_58667489,,,,,,,,,,,,12.0,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_58652138,20_58667489
20_58669453_58670511,,,,,,,,,,,,17.0,,,,,78.0,,,,,,,,,,,,,20.0,,54.0,,,,,,,,32.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_58669453,20_58670511
20_58668127_58670511,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_58668127,20_58670511
20_58891865_58895611,10.0,,,,42.0,,,,53.0,,77.0,8.0,,94.0,,,,,,13.0,,87.0,,57.0,,51.0,,,37.0,,,,,,,,,90.0,,,,33.0,,,,,,,,,,,20.0,40.0,,26.0,,,,,,10.0,,,,,,,35.0,,,,,15.0,,,,33.0,,42.0,20_58891865,20_58895611
20_58889353_58895611,11.0,,,,,,,,,,,25.0,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,20_58889353,20_58895611
20_58895684_58903530,18.0,,,,,,,,25.0,,,,,88.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,16.0,,,,,,,,,36.0,,,,,,,,,,,,20_58895684,20_58903530
20_58898985_58903530,,,,,,,,67.0,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,22.0,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,49.0,20_58898985,20_58903530
20_58993764_58994109,,,,,41.0,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,20.0,36.0,20_58993764,20_58994109
20_58993675_58994109,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,39.0,,59.0,,,,,,,,,,,,,,,,,,,,20_58993675,20_58994109
20_62303049_62303567,,,,20.0,15.0,,,,,,,,,26.0,,31.0,,,,,,,,,,,,,11.0,,,,,29.0,,,,,,,,,,,,,,,,,23.0,,10.0,,,,,,,18.0,,,,,,22.0,,,,,,,,,,,,,,13.0,20_62303049,20_62303567
20_62303045_62303567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,20_62303045,20_62303567
20_62304577_62306196,,,,53.0,31.0,68.0,,,,,,,,66.0,,,,,,,,,39.0,,,,,69.0,70.0,18.0,,,12.0,105.0,,,,,,37.0,,,73.0,,,,,,,,82.0,,33.0,,,,48.0,,,49.0,,,,,,63.0,,,11.0,34.0,,,,20.0,,,25.0,,,71.0,20_62304577,20_62306196
20_62303781_62306196,,,,35.0,,,,,,,,10.0,,53.0,,108.0,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,20_62303781,20_62306196
20_62387914_62388308,,41.0,,10.0,,12.0,,,,,23.0,,,,,14.0,10.0,,,15.0,,,,,10.0,,,17.0,,29.0,49.0,,,11.0,15.0,,47.0,44.0,62.0,13.0,56.0,,,,42.0,,13.0,,21.0,,,,12.0,,,,19.0,16.0,17.0,,23.0,23.0,82.0,52.0,,23.0,17.0,,,,,48.0,38.0,75.0,44.0,,,45.0,,,20_62387914,20_62388308
20_62387674_62388308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,20_62387674,20_62388308
20_63707092_63707866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,20_63707092,20_63707866
20_63707097_63707866,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,20_63707097,20_63707866
20_63708118_63708552,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,20_63708118,20_63708552
20_63708188_63708552,,,,,,,,,22.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,20_63708188,20_63708552
20_63873816_63882718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_63873816,20_63882718
20_63875875_63882718,,,,26.0,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,18.0,20_63875875,20_63882718
20_63946640_63956259,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_63946640,20_63956259
20_63946643_63956259,,,,,,,,,,,24.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20_63946643,20_63956259
20_64076954_64079293,,,,,,,,,,,,,,,49.0,,,,,,68.0,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,10.0,,6.0,,92.0,,,,,,,,,,41.0,,,20_64076954,20_64079293
20_64076646_64079293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,20_64076646,20_64079293
21_31685240_31685397,,,,,,,,,24.0,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,21_31685240,21_31685397
21_31685174_31685397,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,21_31685174,21_31685397
21_33432802_33439213,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,21_33432802,21_33439213
21_33436992_33439213,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,27.0,,,,,,,,,,,,,23.0,,36.0,,,,,,,48.0,,,,,,,,21_33436992,21_33439213
21_33595615_33595729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_33595615,21_33595729
21_33595613_33595729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,21_33595613,21_33595729
21_33599285_33602233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_33599285,21_33602233
21_33599248_33602233,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,51.0,45.0,,,,,,,,21_33599248,21_33602233
21_37084331_37087246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_37084331,21_37087246
21_37073473_37087246,,,,,,,,21.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,21_37073473,21_37087246
21_37073364_37087246,,,,,,,,,,,,,,,,,,,,,11.0,41.0,,,36.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,17.0,,20.0,21_37073364,21_37087246
21_37096643_37108391,,,,,,,,56.0,,,,,,,19.0,,,,,,73.0,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,,21_37096643,21_37108391
21_37073364_37108391,10.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,21.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,21_37073364,21_37108391
21_37261937_37267237,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_37261937,21_37267237
21_37240639_37267237,,,,,,,,,,,,23.0,,,,,,,,,,13.0,,,,,,21.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,21_37240639,21_37267237
21_39345274_39348291,46.0,,172.0,36.0,10.0,,,,,14.0,,143.0,17.0,10.0,27.0,,37.0,,,,,,,,152.0,36.0,,,53.0,,,36.0,,,,,,67.0,,28.0,10.0,,,31.0,43.0,,,,,,,,,,73.0,,45.0,26.0,,125.0,45.0,,,,24.0,,,,,94.0,,30.0,12.0,,174.0,,,16.0,25.0,99.0,21_39345274,21_39348291
21_39345958_39348291,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_39345958,21_39348291
21_41427304_41427754,,,,34.0,,,,,,,46.0,,,,,,,,,,22.0,,45.0,38.0,,,,,,,,72.0,,,,,,170.0,17.0,,,68.0,,,,48.0,,13.0,,,,,,,,,,,,,33.0,,,,,,,,,,,,,28.0,,,,,,,21_41427304,21_41427754
21_41426263_41427754,,,,,16.0,,,,,,,,,,,,,,,,,,1.0,,,25.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_41426263,21_41427754
21_42288073_42288210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,36.0,,,7.0,21_42288073,21_42288210
21_42288037_42288210,,,,,,,,,,,,,,,,,,,,,28.0,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21_42288037,21_42288210
21_42413222_42416441,28.0,,,,,,,29.0,,,,,,79.0,37.0,,,,,,,22.0,,,,,,,,20.0,,,,,,,,,,,,,,,,142.0,,42.0,,,,,,,,,,29.0,,,,,,,,,,116.0,,,,,,,,,,,,,21_42413222,21_42416441
21_42413523_42416441,,,,,,,,,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,21_42413523,21_42416441
21_43101432_43104314,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,21_43101432,21_43104314
21_43100519_43104314,,,,,,,,,,,,,,,,,,,,,,,14.0,,15.0,,,,,,,,,,,,,,,,,,,,,11.0,,18.0,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,21_43100519,21_43104314
21_44908182_44910283,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,12.0,,,,,,,12.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,36.0,,,,,21_44908182,21_44910283
21_44907095_44910283,43.0,,87.0,19.0,,83.0,,,,,81.0,15.0,,,232.0,235.0,,,34.0,,,,20.0,48.0,89.0,,88.0,37.0,,,,40.0,,33.0,,,,,17.0,113.0,,59.0,,31.0,83.0,85.0,,,,28.0,42.0,,156.0,,71.0,113.0,16.0,98.0,47.0,165.0,57.0,68.0,,55.0,,,,218.0,45.0,31.0,,,,,242.0,123.0,,73.0,75.0,82.0,21_44907095,21_44910283
21_46635763_46636895,35.0,,,,25.0,,,,,,,31.0,,,,,,,,,,4.0,,,25.0,,,,41.0,,,45.0,,83.0,,,,,,,,,,,,23.0,,,,14.0,,,56.0,,,,,21.0,14.0,,,,,,,,,14.0,29.0,,,,,29.0,,42.0,,,13.0,27.0,21_46635763,21_46636895
21_46636547_46636895,,,,,,25.0,,58.0,,,,,,74.0,10.0,,,,,,,41.0,,,,,,,,,,,21.0,102.0,,,,,,,,,53.0,,,,,,,,155.0,,34.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,21_46636547,21_46636895
21_6492197_6495992,12.0,,34.0,,36.0,,,,,,,,,,,,34.0,,,,,,,,,,35.0,,,,,,,21.0,,,,,21.0,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,13.0,,,,,,16.0,,,,,,,,1.0,21_6492197,21_6495992
21_6493110_6495992,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,13.0,21_6493110,21_6495992
21_8437016_8437168,,,,,,,45.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,18.0,,,,,,,,,,,,,21_8437016,21_8437168
21_8392957_8437168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8392957,21_8437168
21_8393177_8437384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8393177,21_8437384
21_8393174_8437384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.0,,,,,,1233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8393174,21_8437384
21_8393177_8437388,,,,,,,30.0,,,,,,,,,,,,39.0,,,,,,,,,11.0,,,,,,,,,,,11.0,,,,,36.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,28.0,,21.0,,,21_8393177,21_8437388
21_8393174_8437388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8393174,21_8437388
21_8393341_8437540,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8393341,21_8437540
21_8393329_8437540,,,,16.0,,,,12.0,,,,,14.0,,17.0,19.0,11.0,,23.0,,,47.0,,10.0,99.0,,29.0,,,,,,,110.0,,,,,,,13.0,,,72.0,13.0,,,10.0,,,29.0,,,72.0,,,,,,,,,,13.0,,,,,,,,,,,,23.0,,,,,21_8393329,21_8437540
21_8393441_8437652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8393441,21_8437652
21_8393443_8437652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8393443,21_8437652
21_8393483_8437694,,,,,,,,,,,,,,,,,21.0,,,,,20.0,,,29.0,,21.0,,,,,,,27.0,,,,,,15.0,,,,36.0,,,,,,,,,,,,,15.0,,,,,,,6.0,,,,,,,,,,,,,,,,,21_8393483,21_8437694
21_8393485_8437694,,,,,,,,,,,,,,,,,,,,,,18.0,,,22.0,,,,,,,,,93.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,21_8393485,21_8437694
21_8394013_8438220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8394013,21_8438220
21_8394009_8438220,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,26.0,,,,,20.0,38.0,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,22.0,,,,,,,,,,,15.0,,,37.0,,,12.0,21_8394009,21_8438220
21_8394223_8438432,,,,10.0,,,,,,,11.0,,,,,,,,11.0,,,10.0,,,,,,,,,,,,15.0,,,,,,,,,,14.0,10.0,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,19.0,,,,,,,,21_8394223,21_8438432
21_8394218_8438432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8394218,21_8438432
21_8437352_8438445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,21_8437352,21_8438445
21_8394316_8438445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_8394316,21_8438445
22_17212578_17219355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,10.0,,43.0,,,,,,22_17212578,22_17219355
22_17209723_17219355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,22_17209723,22_17219355
22_19441694_19447377,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,21.0,,,,,,22_19441694,22_19447377
22_19444390_19447377,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_19444390,22_19447377
22_19475602_19479082,10.0,,,,,,,,,,,20.0,,,,,,,,,30.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,45.0,,,,,30.0,,,,32.0,,,,,,,,,,25.0,,,,,,,,,,32.0,22_19475602,22_19479082
22_19471808_19479082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_19471808,22_19479082
22_19821375_19854442,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_19821375,22_19854442
22_19852486_19854442,,,,,24.0,,,,,,,,,,,,17.0,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_19852486,22_19854442
22_20036854_20043354,,,,,,,,,,,33.0,,,,,,,,,,27.0,,1.0,,62.0,,,,,,,,,,,,,,,,,,,,,73.0,,,,28.0,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,22_20036854,22_20043354
22_20037094_20043354,,,60.0,,,,,,,,,,,,21.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,37.0,16.0,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_20037094,22_20043354
22_20053551_20055942,,,46.0,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,15.0,,,,,,,,,29.0,12.0,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_20053551,22_20055942
22_20052584_20055942,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,22_20052584,22_20055942
22_20537204_20551435,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,59.0,,11.0,,,,22_20537204,22_20551435
22_20551166_20551435,,15.0,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_20551166,22_20551435
